#It	alpha=-0	alpha=-1	alpha=-2	alpha=-3	alpha=-4	alpha=-5	alpha=-6
1   0.13487     0.0140811   0.00141434  8.3373e-09  1.41506e-05 1.7563e-06  1.04008e-05
2   0.00347225  3.77456e-05 3.80683e-07 8.14994e-09 1.03711e-07 1.04161e-06 1.03925e-05
3   0.00010748  1.20858e-07 1.0459e-09  8.01733e-09 9.05964e-08 8.98966e-07 9.01954e-06
4   3.46305e-06 4.15009e-10 1.04416e-09 7.95102e-09 8.56509e-08 8.5231e-07  8.62431e-06
5   1.12685e-07 0           9.05626e-10 7.93918e-09 8.296e-08   8.29581e-07 8.38694e-06
6   3.67586e-09 0           0           8.03863e-09 8.11426e-08 8.08656e-07 8.22304e-06
7   1.20436e-10 0           0           7.97178e-09 8.03033e-08 8.08086e-07 8.01992e-06
8   0           0           0           7.87041e-09 7.97001e-08 8.05139e-07 7.92343e-06
9   0           0           0           7.83915e-09 7.87384e-08 8.04346e-07 7.8142e-06
10  0           0           0           7.89874e-09 7.89226e-08 7.82876e-07 7.77172e-06
11  0           0           0           7.88108e-09 7.76134e-08 7.78282e-07 7.77172e-06
12  0           0           0           7.73678e-09 7.82221e-08 7.7608e-07  7.59619e-06
13  0           0           0           7.76214e-09 7.68358e-08 7.78215e-07 7.63025e-06
14  0           0           0           7.7607e-09  7.68894e-08 7.75954e-07 7.5842e-06
15  0           0           0           7.72524e-09 7.71089e-08 7.69473e-07 7.56625e-06
16  0           0           0           7.63204e-09 7.63495e-08 7.5776e-07  7.57439e-06
17  0           0           0           7.55242e-09 7.59297e-08 7.57777e-07 7.51343e-06
18  0           0           0           7.47486e-09 7.65525e-08 7.48355e-07 7.54107e-06
19  0           0           0           7.52524e-09 7.47326e-08 7.63417e-07 7.46384e-06
20  0           0           0           7.49848e-09 7.424e-08   7.62957e-07 7.42816e-06
21  0           0           0           7.48081e-09 7.49118e-08 7.56043e-07 7.42979e-06
22  0           0           0           7.51142e-09 7.49791e-08 7.54424e-07 7.44734e-06
23  0           0           0           7.53224e-09 7.56127e-08 7.54395e-07 7.44434e-06
24  0           0           0           7.4319e-09  7.55682e-08 7.49905e-07 7.48125e-06
25  0           0           0           7.39957e-09 7.54336e-08 7.44877e-07 7.34754e-06
			
