#It	alpha=-0	alpha=-1	alpha=-2	alpha=-3	alpha=-4	alpha=-5	alpha=-6
1   0.0741719   0.00775155  0.00077866  7.79012e-05 7.79047e-06 7.81644e-07 6.58299e-07
2   0.0741719   2.11329e-05 2.13132e-07 2.23201e-09 6.37994e-09 6.84533e-08 6.6413e-07
3   6.00751e-05 6.75177e-08 9.45471e-11 6.7355e-10  5.45253e-09 5.52021e-08 5.6442e-07
4   1.92713e-06 2.23509e-10 0           0           5.0358e-09  5.27677e-08 5.90283e-07
5   6.23919e-08 0           0           0           4.66726e-09 5.06392e-08 5.47939e-07
6   2.02466e-09 0           0           0           4.53548e-09 4.83304e-08 5.44484e-07
7   6.5743e-11  0           0           0           4.64726e-09 4.42753e-08 5.51673e-07
8   0           0           0           0           4.52589e-09 4.76477e-08 5.39023e-07
9   0           0           0           0           4.45881e-09 4.61316e-08 5.18999e-07
10  0           0           0           0           4.39333e-09 4.52117e-08 5.0464e-07
11  0           0           0           0           4.34849e-09 4.61553e-08 4.98823e-07
12  0           0           0           0           4.49448e-09 4.48468e-08 5.04196e-07
13  0           0           0           0           4.80286e-09 4.38816e-08 4.92764e-07
14  0           0           0           0           4.5535e-09  4.17002e-08 4.76293e-07
15  0           0           0           0           4.33619e-09 4.39464e-08 4.964e-07
16  0           0           0           0           4.39028e-09 4.38076e-08 4.90783e-07
17  0           0           0           0           4.29525e-09 4.50578e-08 4.55637e-07
18  0           0           0           0           4.48313e-09 4.38499e-08 4.44796e-07
19  0           0           0           0           4.40285e-09 4.44089e-08 4.51438e-07
20  0           0           0           0           4.20149e-09 4.43522e-08 4.48013e-07
21  0           0           0           0           4.4769e-09  4.38686e-08 4.54692e-07
22  0           0           0           0           4.33926e-09 4.52026e-08 4.56996e-07
23  0           0           0           0           4.22787e-09 4.52719e-08 4.67931e-07
24  0           0           0           0           4.11415e-09 4.27971e-08 4.60318e-07
25  0           0           0           0           4.55294e-09 4.44317e-08 4.61821e-07
