#It	alpha=-2	alpha=-3	alpha=-4	alpha=-5	alpha=-6	alpha=-7	alpha=-8
1	0.337014	0.0486634	0.00508884	0.000511216	5.11E-05	5.11E-06	5.11E-07
2	0.064132	0.00128818	1.40E-05	1.41E-07	1.42E-09	1.39E-09	1.03E-08
3	0.0146677	3.93E-05	4.41E-08	4.63E-11	1.19E-10	1.32E-09	9.78E-09
4	0.00354499	1.24E-06	1.44E-10			1.24E-09	9.95E-09
5	0.000871749	3.95E-08				1.05E-09	9.60E-09
6	0.000215539	1.26E-09				9.99E-10	9.09E-09
7	5.34E-05	4.02E-11					8.50E-09
8	1.32E-05						8.33E-09
9	3.28E-06						7.57E-09
10	8.13E-07						8.29E-09
11	2.01E-07						8.45E-09
12	4.99E-08						9.33E-09
13	1.24E-08						8.26E-09
14	3.07E-09						8.88E-09
15	7.60E-10						8.74E-09
16							8.61E-09
17							8.02E-09
18							8.07E-09
19							8.46E-09
20							8.06E-09
21							7.39E-09
22							8.30E-09
23							8.50E-09
24							7.72E-09
25							6.56E-09
