#It	alpha=-2	alpha=-3	alpha=-4	alpha=-5	alpha=-6	alpha=-7	alpha=-8
1	4.84401	3.23814	1.5011	0.276297	0.0302435	0.00305324	0.000305615
2	2.43664	1.44735	0.415576	0.014608	0.000174193	1.77E-06	1.85E-08
3	1.56508	0.86193	0.15047	0.000936086	1.20E-06	1.33E-09	6.15E-10
4	1.12528	0.583364	0.0597193	6.27E-05	8.58E-09	5.12E-10	
5	0.865458	0.424034	0.0245734	4.24E-06	8.06E-11		
6	0.695915	0.322484	0.0102598	2.88E-07			
7	0.577477	0.253006	0.00430883	1.96E-08			
8	0.490546	0.203047	0.00181388	1.33E-09			
9	0.424304	0.165782	0.000764309	9.04E-11			
10	0.372322	0.137196	0.000322177				
11	0.330556	0.114776	0.000135827				
12	0.296339	0.0968719	5.73E-05				
13	0.267847	0.0823591	2.41E-05				
14	0.243794	0.0704451	1.02E-05				
15	0.223244	0.0605579	4.29E-06				
16	0.205507	0.0522758	1.81E-06				
17	0.190057	0.0452822	7.63E-07				
18	0.176493	0.0393359	3.22E-07				
19	0.1645	0.0342504	1.36E-07				
20	0.153827	0.0298793	5.72E-08				
21	0.144274	0.0261067	2.41E-08				
22	0.135681	0.0228392	1.02E-08				
23	0.127913	0.0200011	4.29E-09				
24	0.120861	0.0175301	1.81E-09				
25	0.114433	0.0153746	7.62E-10				
26	0.108554	0.0134913					
27	0.103157	0.0118437					
28	0.0981888	0.010401					
29	0.093601	0.00913645					
30	0.0893534	0.00802743					
31	0.0854109	0.00705426					
32	0.0817428	0.00619993					
33	0.0783227	0.00544968					
34	0.075127	0.00479064					
35	0.0721353	0.0042116					
36	0.0693294	0.00370275					
37	0.0666933	0.00325553					
38	0.0642125	0.00286243					
39	0.0618743	0.00251687					
40	0.0596673	0.00221307					
41	0.0575811	0.00194598					
42	0.0556067	0.00171115					
43	0.0537355	0.00150468					
44	0.0519601	0.00132313					
45	0.0502737	0.00116349					
46	0.0486701	0.00102312					
47	0.0471435	0.00089969					
48	0.0456888	0.000791153					
49	0.0443014	0.000695712					
50	0.0429768	0.000611786					
